loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.6683,4.149815559387207,0.000192,0.28,10,,,,,,,,,
,,,0.28,10,1.904582142829895,10.4252,1.151,0.192,,,,,
1.6163,3.0267772674560547,0.00018400000000000003,0.56,20,,,,,,,,,
,,,0.56,20,1.4504233598709106,10.5576,1.137,0.189,,,,,
1.4282,2.250117778778076,0.00017600000000000002,0.83,30,,,,,,,,,
,,,0.83,30,1.3945037126541138,10.4486,1.148,0.191,,,,,
1.3711,1.3894617557525635,0.000168,1.11,40,,,,,,,,,
,,,1.11,40,1.3662300109863281,10.5073,1.142,0.19,,,,,
1.3638,1.6119563579559326,0.00016,1.39,50,,,,,,,,,
,,,1.39,50,1.3578338623046875,10.5142,1.141,0.19,,,,,
1.3366,1.6961143016815186,0.000152,1.67,60,,,,,,,,,
,,,1.67,60,1.3611000776290894,10.5355,1.139,0.19,,,,,
1.3283,1.60467529296875,0.000144,1.94,70,,,,,,,,,
,,,1.94,70,1.3405050039291382,10.5482,1.138,0.19,,,,,
1.322,1.5689946413040161,0.00013600000000000003,2.22,80,,,,,,,,,
,,,2.22,80,1.3464382886886597,10.5557,1.137,0.189,,,,,
1.3165,1.6947124004364014,0.00012800000000000002,2.5,90,,,,,,,,,
,,,2.5,90,1.3408619165420532,10.5579,1.137,0.189,,,,,
1.304,1.8618651628494263,0.00012,2.78,100,,,,,,,,,
,,,2.78,100,1.3355077505111694,10.4828,1.145,0.191,,,,,
1.3067,1.1079301834106445,0.00011200000000000001,3.06,110,,,,,,,,,
,,,3.06,110,1.3495378494262695,10.5046,1.142,0.19,,,,,
1.2947,1.2402667999267578,0.00010400000000000001,3.33,120,,,,,,,,,
,,,3.33,120,1.3337221145629883,10.5193,1.141,0.19,,,,,
1.2883,1.7392356395721436,9.6e-05,3.61,130,,,,,,,,,
,,,3.61,130,1.3395905494689941,10.515,1.141,0.19,,,,,
1.2965,1.7246586084365845,8.800000000000001e-05,3.89,140,,,,,,,,,
,,,3.89,140,1.3390884399414062,10.513,1.141,0.19,,,,,
1.2756,1.5818167924880981,8e-05,4.17,150,,,,,,,,,
,,,4.17,150,1.340418815612793,10.5005,1.143,0.19,,,,,
1.265,1.2414883375167847,7.2e-05,4.44,160,,,,,,,,,
,,,4.44,160,1.340539574623108,10.5659,1.136,0.189,,,,,
1.2801,1.9614906311035156,6.400000000000001e-05,4.72,170,,,,,,,,,
,,,4.72,170,1.3407069444656372,10.4967,1.143,0.191,,,,,
1.2661,2.963977336883545,5.6000000000000006e-05,5.0,180,,,,,,,,,
,,,5.0,180,1.332519292831421,10.5863,1.134,0.189,,,,,
1.2489,1.5042917728424072,4.8e-05,5.28,190,,,,,,,,,
,,,5.28,190,1.3514994382858276,10.516,1.141,0.19,,,,,
1.2529,1.3082622289657593,4e-05,5.56,200,,,,,,,,,
,,,5.56,200,1.3460721969604492,10.4973,1.143,0.191,,,,,
1.2576,1.6541049480438232,3.2000000000000005e-05,5.83,210,,,,,,,,,
,,,5.83,210,1.3524378538131714,10.5501,1.137,0.19,,,,,
1.2512,1.8290761709213257,2.4e-05,6.11,220,,,,,,,,,
,,,6.11,220,1.3475581407546997,10.525,1.14,0.19,,,,,
1.2358,1.5197607278823853,1.6000000000000003e-05,6.39,230,,,,,,,,,
,,,6.39,230,1.3607426881790161,10.4786,1.145,0.191,,,,,
1.2469,1.7839175462722778,8.000000000000001e-06,6.67,240,,,,,,,,,
,,,6.67,240,1.3618072271347046,10.5243,1.14,0.19,,,,,
1.2341,1.4940308332443237,0.0,6.94,250,,,,,,,,,
,,,6.94,250,1.3576607704162598,10.5555,1.137,0.189,,,,,
,,,6.94,250,,,,,4122.1527,0.485,0.061,1.073565891821568e+16,1.3622163467407227
